date,entry_time,direction,entry_price,stop_loss,time_bucket,exit_time,exit_price,pnl_points
2021-01-04,2021-01-04 11:01:00,BEARISH,14000.4,14020.4,11:00,2021-01-04 11:01:00,14010.85,-10.450000000000728
2021-01-06,2021-01-06 12:03:00,BEARISH,14189.35,14209.35,12:00,2021-01-06 12:04:00,14189.35,0.0
2021-01-11,2021-01-11 13:05:00,BEARISH,14425.55,14445.55,13:00,2021-01-11 13:05:00,14426.65,-1.1000000000003638
2021-01-12,2021-01-12 12:01:00,BULLISH,14501.75,14481.75,12:00,2021-01-12 12:01:00,14507.25,5.5
2021-01-13,2021-01-13 12:01:00,BEARISH,14530.65,14550.65,12:00,2021-01-13 12:01:00,14533.55,-2.899999999999636
2021-01-15,2021-01-15 11:10:00,BEARISH,14471.9,14491.9,11:00,2021-01-15 11:10:00,14473.0,-1.1000000000003638
2021-01-18,2021-01-18 13:16:00,BULLISH,14316.8,14296.8,13:00,2021-01-18 13:16:00,14314.55,-2.25
2021-01-22,2021-01-22 12:11:00,BEARISH,14480.7,14500.7,12:00,2021-01-22 12:11:00,14488.75,-8.049999999999272
2021-02-01,2021-02-01 11:22:00,BULLISH,13809.8,13789.8,11:00,2021-02-01 11:22:00,13815.6,5.800000000001091
2021-02-03,2021-02-03 12:17:00,BULLISH,14832.1,14812.1,12:00,2021-02-03 12:17:00,14831.4,-0.7000000000007276
2021-02-04,2021-02-04 11:07:00,BULLISH,14784.8,14764.8,11:00,2021-02-04 11:07:00,14774.1,-10.699999999998909
2021-02-05,2021-02-05 13:12:00,BEARISH,14937.5,14957.5,13:00,2021-02-05 13:12:00,14939.7,-2.2000000000007276
2021-02-09,2021-02-09 13:11:00,BULLISH,15240.95,15220.95,13:00,2021-02-09 13:11:00,15243.15,2.1999999999989086
2021-02-17,2021-02-17 11:06:00,BULLISH,15295.0,15275.0,11:00,2021-02-17 11:06:00,15289.1,-5.899999999999636
2021-02-18,2021-02-18 12:25:00,BEARISH,15115.45,15135.45,12:00,2021-02-18 12:25:00,15112.0,3.4500000000007276
2021-02-19,2021-02-19 11:30:00,BULLISH,15092.55,15072.55,11:00,2021-02-19 12:00:00,15078.4,-14.149999999999636
2021-02-22,2021-02-22 12:08:00,BEARISH,14782.6,14802.6,12:00,2021-02-22 12:08:00,14789.3,-6.699999999998909
2021-02-23,2021-02-23 12:07:00,BEARISH,14727.15,14747.15,12:00,2021-02-23 12:07:00,14740.05,-12.899999999999636
2021-02-25,2021-02-25 12:11:00,BEARISH,15076.95,15096.95,12:00,2021-02-25 12:11:00,15082.15,-5.199999999998909
2021-02-26,2021-02-26 11:01:00,BEARISH,14758.15,14778.15,11:00,2021-02-26 11:02:00,14739.65,18.5
2021-03-02,2021-03-02 11:07:00,BEARISH,14828.35,14848.35,11:00,2021-03-02 11:08:00,14823.35,5.0
2021-03-03,2021-03-03 12:02:00,BULLISH,15103.25,15083.25,12:00,2021-03-03 12:02:00,15101.65,-1.6000000000003638
2021-03-04,2021-03-04 11:10:00,BULLISH,15100.0,15080.0,11:00,2021-03-04 11:11:00,15126.55,26.549999999999272
2021-03-05,2021-03-05 11:01:00,BEARISH,14951.2,14971.2,11:00,2021-03-05 11:01:00,14974.4,-23.19999999999891
2021-03-08,2021-03-08 12:07:00,BEARISH,15008.95,15028.95,12:00,2021-03-08 12:07:00,15008.05,0.9000000000014552
2021-03-09,2021-03-09 12:22:00,BEARISH,15026.65,15046.65,12:00,2021-03-09 12:22:00,15023.35,3.2999999999992724
2021-03-10,2021-03-10 11:26:00,BEARISH,15138.0,15158.0,11:00,2021-03-10 11:26:00,15149.15,-11.149999999999636
2021-03-12,2021-03-12 12:15:00,BEARISH,15254.1,15274.1,12:00,2021-03-12 12:15:00,15248.9,5.200000000000728
2021-03-15,2021-03-15 11:01:00,BEARISH,14833.55,14853.55,11:00,2021-03-15 11:01:00,14835.65,-2.100000000000364
2021-03-16,2021-03-16 11:07:00,BULLISH,15030.0,15010.0,11:00,2021-03-16 11:07:00,15028.7,-1.2999999999992724
2021-03-18,2021-03-18 13:08:00,BEARISH,14737.35,14757.35,13:00,2021-03-18 13:08:00,14747.8,-10.449999999998909
2021-03-19,2021-03-19 13:21:00,BULLISH,14602.8,14582.8,13:00,2021-03-19 13:21:00,14605.9,3.100000000000364
2021-03-22,2021-03-22 11:01:00,BEARISH,14652.3,14672.3,11:00,2021-03-22 11:01:00,14652.1,0.1999999999989086
2021-03-23,2021-03-23 13:26:00,BULLISH,14801.05,14781.05,13:00,2021-03-23 13:26:00,14797.9,-3.149999999999636
2021-03-24,2021-03-24 11:11:00,BEARISH,14611.05,14631.05,11:00,2021-03-24 11:11:00,14613.2,-2.150000000001455
2021-03-25,2021-03-25 12:05:00,BEARISH,14316.95,14336.95,12:00,2021-03-25 12:05:00,14321.05,-4.099999999998545
2021-03-30,2021-03-30 13:26:00,BULLISH,14794.5,14774.5,13:00,2021-03-30 13:26:00,14791.7,-2.7999999999992724
2021-03-31,2021-03-31 13:17:00,BEARISH,14716.9,14736.9,13:00,2021-03-31 13:17:00,14718.75,-1.8500000000003638
2021-04-01,2021-04-01 12:22:00,BEARISH,14738.95,14758.95,12:00,2021-04-01 12:22:00,14729.6,9.350000000000364
2021-04-05,2021-04-05 11:11:00,BEARISH,14493.6,14513.6,11:00,2021-04-05 11:11:00,14474.3,19.30000000000109
2021-04-06,2021-04-06 11:11:00,BULLISH,14757.65,14737.65,11:00,2021-04-06 11:11:00,14752.6,-5.049999999999272
2021-04-07,2021-04-07 11:01:00,BULLISH,14842.8,14822.8,11:00,2021-04-07 11:01:00,14840.75,-2.0499999999992724
2021-04-12,2021-04-12 13:24:00,BEARISH,14307.45,14327.45,13:00,2021-04-12 13:24:00,14303.85,3.600000000000364
2021-04-15,2021-04-15 11:02:00,BEARISH,14387.15,14407.15,11:00,2021-04-15 11:02:00,14391.75,-4.600000000000364
2021-04-20,2021-04-20 11:07:00,BEARISH,14427.15,14447.15,11:00,2021-04-20 11:07:00,14426.45,0.6999999999989086
2021-04-22,2021-04-22 13:03:00,BULLISH,14364.15,14344.15,13:00,2021-04-22 13:03:00,14361.3,-2.850000000000364
2021-04-23,2021-04-23 11:06:00,BULLISH,14430.5,14410.5,11:00,2021-04-23 11:06:00,14429.35,-1.1499999999996362
2021-04-29,2021-04-29 13:12:00,BEARISH,14906.2,14926.2,13:00,2021-04-29 13:12:00,14912.05,-5.849999999998545
2021-05-04,2021-05-04 13:05:00,BEARISH,14612.7,14632.7,13:00,2021-05-04 13:05:00,14617.55,-4.849999999998545
2021-05-05,2021-05-05 11:11:00,BEARISH,14563.9,14583.9,11:00,2021-05-05 11:11:00,14558.5,5.399999999999636
2021-05-07,2021-05-07 13:05:00,BEARISH,14793.55,14813.55,13:00,2021-05-07 13:05:00,14797.6,-4.050000000001091
2021-05-10,2021-05-10 13:16:00,BEARISH,14924.3,14944.3,13:00,2021-05-10 13:16:00,14926.35,-2.0500000000010914
2021-05-11,2021-05-11 11:17:00,BULLISH,14845.3,14825.3,11:00,2021-05-11 11:17:00,14840.5,-4.799999999999272
2021-05-12,2021-05-12 12:26:00,BULLISH,14760.7,14740.7,12:00,2021-05-12 12:26:00,14762.0,1.2999999999992724
2021-05-17,2021-05-17 12:28:00,BULLISH,14845.0,14825.0,12:00,2021-05-17 12:28:00,14846.55,1.5499999999992724
2021-05-18,2021-05-18 11:05:00,BULLISH,15122.3,15102.3,11:00,2021-05-18 11:06:00,15127.0,4.700000000000728
2021-05-25,2021-05-25 13:28:00,BEARISH,15219.55,15239.55,13:00,2021-05-25 13:28:00,15213.95,5.599999999998545
